Species	Protein ID	Family	Genome/EST	Category
Zea mays	GRMZM2G074427_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G074742_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G077356_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079114_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079200_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079200_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079200_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079957_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079957_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G079957_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G084993_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G096540_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G097279_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G097279_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G103589_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G103589_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G104176_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G115357_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G115357_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G121309_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G122622_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G126422_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G128421_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G130953_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G130953_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G130953_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G130953_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G134517_T01_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G137363_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G137692_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G137692_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G137692_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G138268_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G138268_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G138268_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G141205_T01_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G141751_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G141751_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G142768_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G142768_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G143850_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G147243_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G147243_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G149449_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G152796_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G152796_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G155082_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G159285_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G159285_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P05	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P06	AUX/IAA	Genome	Other
Zea mays	GRMZM2G163848_P07	AUX/IAA	Genome	Other
Zea mays	GRMZM2G167794_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G168699_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G168699_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G172569_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G172569_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G180050_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G013104_P01	Coactivator p15	Genome	Other
Zea mays	GRMZM2G013104_P02	Coactivator p15	Genome	Other
Zea mays	GRMZM2G090213_P01	Coactivator p15	Genome	Other
Zea mays	GRMZM2G090213_P02	Coactivator p15	Genome	Other
Zea mays	GRMZM2G112535_P01	Coactivator p15	Genome	Other
Zea mays	GRMZM2G112535_P02	Coactivator p15	Genome	Other
Zea mays	GRMZM2G159948_P01	Coactivator p15	Genome	Other
Zea mays	GRMZM2G000139_P02	DDT	Genome	Other
Zea mays	GRMZM2G014185_P01	DDT	Genome	Other
Zea mays	GRMZM2G064145_P01	DDT	Genome	Other
Zea mays	GRMZM2G064145_P02	DDT	Genome	Other
Zea mays	GRMZM2G064145_P03	DDT	Genome	Other
Zea mays	GRMZM2G064145_P04	DDT	Genome	Other
Zea mays	GRMZM2G064145_P05	DDT	Genome	Other
Zea mays	GRMZM2G064145_P06	DDT	Genome	Other
Zea mays	GRMZM2G064145_P07	DDT	Genome	Other
Zea mays	GRMZM2G125294_P02	DDT	Genome	Other
Zea mays	GRMZM2G128176_P01	DDT	Genome	Other
Zea mays	GRMZM2G128176_P02	DDT	Genome	Other
Zea mays	GRMZM2G128176_P03	DDT	Genome	Other
Zea mays	GRMZM2G128176_P04	DDT	Genome	Other
Zea mays	GRMZM2G137072_P01	DDT	Genome	Other
Zea mays	GRMZM2G137072_P02	DDT	Genome	Other
Zea mays	GRMZM2G137072_P03	DDT	Genome	Other
Zea mays	GRMZM2G137072_P04	DDT	Genome	Other
Zea mays	AC186623.5_FGP046	GNAT	Genome	Other
Zea mays	AC191391.3_FGP044	GNAT	Genome	Other
Zea mays	GRMZM2G000078_P01	GNAT	Genome	Other
Zea mays	GRMZM2G002832_P01	GNAT	Genome	Other
Zea mays	GRMZM2G011624_P01	GNAT	Genome	Other
Zea mays	GRMZM2G016581_P01	GNAT	Genome	Other
Zea mays	GRMZM2G016581_P02	GNAT	Genome	Other
Zea mays	GRMZM2G016581_P03	GNAT	Genome	Other
Zea mays	GRMZM2G016581_P04	GNAT	Genome	Other
Zea mays	GRMZM2G016581_P05	GNAT	Genome	Other
Zea mays	GRMZM2G028312_P01	GNAT	Genome	Other
Zea mays	GRMZM2G028312_P03	GNAT	Genome	Other
Zea mays	GRMZM2G028317_P01	GNAT	Genome	Other
Zea mays	GRMZM2G031062_P01	GNAT	Genome	Other
Zea mays	GRMZM2G033481_P01	GNAT	Genome	Other
Zea mays	GRMZM2G034395_P01	GNAT	Genome	Other
Zea mays	GRMZM2G034495_P01	GNAT	Genome	Other
Zea mays	GRMZM2G037120_P01	GNAT	Genome	Other
Zea mays	GRMZM2G038580_P01	GNAT	Genome	Other
Zea mays	GRMZM2G044260_P03	GNAT	Genome	Other
Zea mays	GRMZM2G046021_P01	GNAT	Genome	Other
Zea mays	GRMZM2G046288_P01	GNAT	Genome	Other
Zea mays	GRMZM2G046288_P02	GNAT	Genome	Other
Zea mays	GRMZM2G046288_P03	GNAT	Genome	Other
Zea mays	GRMZM2G049730_P01	GNAT	Genome	Other
Zea mays	GRMZM2G050137_P01	GNAT	Genome	Other
Zea mays	GRMZM2G050634_P01	GNAT	Genome	Other
Zea mays	GRMZM2G050634_P02	GNAT	Genome	Other
Zea mays	GRMZM2G050634_P03	GNAT	Genome	Other
Zea mays	GRMZM2G055141_P01	GNAT	Genome	Other
Zea mays	GRMZM2G055141_P02	GNAT	Genome	Other
Zea mays	GRMZM2G057554_P01	GNAT	Genome	Other
Zea mays	GRMZM2G057554_P02	GNAT	Genome	Other
Zea mays	GRMZM2G058575_P02	GNAT	Genome	Other
Zea mays	GRMZM2G059302_P01	GNAT	Genome	Other
Zea mays	GRMZM2G059302_P02	GNAT	Genome	Other
Zea mays	GRMZM2G060025_P01	GNAT	Genome	Other
Zea mays	GRMZM2G061150_P01	GNAT	Genome	Other
Zea mays	GRMZM2G062657_P01	GNAT	Genome	Other
Zea mays	GRMZM2G062657_P02	GNAT	Genome	Other
Zea mays	GRMZM2G062657_P03	GNAT	Genome	Other
Zea mays	GRMZM2G066626_P01	GNAT	Genome	Other
Zea mays	GRMZM2G073972_P01	GNAT	Genome	Other
Zea mays	GRMZM2G073972_P02	GNAT	Genome	Other
Zea mays	GRMZM2G080189_P01	GNAT	Genome	Other
Zea mays	GRMZM2G083818_P01	GNAT	Genome	Other
Zea mays	GRMZM2G085307_P01	GNAT	Genome	Other
Zea mays	GRMZM2G086634_P01	GNAT	Genome	Other
Zea mays	GRMZM2G096352_P01	GNAT	Genome	Other
Zea mays	GRMZM2G096352_P04	GNAT	Genome	Other
Zea mays	GRMZM2G099305_P01	GNAT	Genome	Other
Zea mays	GRMZM2G100872_P01	GNAT	Genome	Other
Zea mays	GRMZM2G104670_P01	GNAT	Genome	Other
Zea mays	GRMZM2G106245_P01	GNAT	Genome	Other
Zea mays	GRMZM2G106245_P02	GNAT	Genome	Other
Zea mays	GRMZM2G118466_P01	GNAT	Genome	Other
Zea mays	GRMZM2G123159_P01	GNAT	Genome	Other
Zea mays	GRMZM2G123159_P03	GNAT	Genome	Other
Zea mays	GRMZM2G126856_P01	GNAT	Genome	Other
Zea mays	GRMZM2G131618_P01	GNAT	Genome	Other
Zea mays	GRMZM2G134426_P01	GNAT	Genome	Other
Zea mays	GRMZM2G135849_P01	GNAT	Genome	Other
Zea mays	GRMZM2G136389_P02	GNAT	Genome	Other
Zea mays	GRMZM2G137715_P01	GNAT	Genome	Other
Zea mays	GRMZM2G137961_P01	GNAT	Genome	Other
Zea mays	GRMZM2G137961_P02	GNAT	Genome	Other
Zea mays	GRMZM2G141054_P01	GNAT	Genome	Other
Zea mays	GRMZM2G142281_P01	GNAT	Genome	Other
Zea mays	GRMZM2G142281_P02	GNAT	Genome	Other
Zea mays	GRMZM2G142281_P03	GNAT	Genome	Other
Zea mays	GRMZM2G162056_P01	GNAT	Genome	Other
Zea mays	GRMZM2G166576_P01	GNAT	Genome	Other
Zea mays	GRMZM2G169326_P01	GNAT	Genome	Other
Zea mays	GRMZM2G172119_P02	GNAT	Genome	Other
Zea mays	GRMZM2G175891_P01	GNAT	Genome	Other
Zea mays	GRMZM2G176723_P01	GNAT	Genome	Other
Zea mays	GRMZM2G179435_P01	GNAT	Genome	Other
Zea mays	AC186524.3_FGP037	HMG	Genome	Other
Zea mays	GRMZM2G013821_P01	HMG	Genome	Other
Zea mays	GRMZM2G013821_P02	HMG	Genome	Other
Zea mays	GRMZM2G013821_P03	HMG	Genome	Other
Zea mays	GRMZM2G024247_P01	HMG	Genome	Other
Zea mays	GRMZM2G032252_P01	HMG	Genome	Other
Zea mays	GRMZM2G032252_P02	HMG	Genome	Other
Zea mays	GRMZM2G053521_P01	HMG	Genome	Other
Zea mays	GRMZM2G053521_P02	HMG	Genome	Other
Zea mays	GRMZM2G060253_P01	HMG	Genome	Other
Zea mays	GRMZM2G066528_P01	HMG	Genome	Other
Zea mays	GRMZM2G066528_P02	HMG	Genome	Other
Zea mays	GRMZM2G066528_P03	HMG	Genome	Other
Zea mays	GRMZM2G066528_P04	HMG	Genome	Other
Zea mays	GRMZM2G066528_P05	HMG	Genome	Other
Zea mays	GRMZM2G079250_P01	HMG	Genome	Other
Zea mays	GRMZM2G081580_P01	HMG	Genome	Other
Zea mays	GRMZM2G081580_P03	HMG	Genome	Other
Zea mays	GRMZM2G081580_P04	HMG	Genome	Other
Zea mays	GRMZM2G089107_P02	HMG	Genome	Other
Zea mays	GRMZM2G125648_P01	HMG	Genome	Other
Zea mays	GRMZM2G130182_P01	HMG	Genome	Other
Zea mays	GRMZM2G130182_P02	HMG	Genome	Other
Zea mays	GRMZM2G144398_P01	HMG	Genome	Other
Zea mays	GRMZM2G145968_P01	HMG	Genome	Other
Zea mays	GRMZM2G145968_P03	HMG	Genome	Other
Zea mays	GRMZM2G156785_P01	HMG	Genome	Other
Zea mays	GRMZM2G156785_P02	HMG	Genome	Other
Zea mays	GRMZM2G156785_P03	HMG	Genome	Other
Zea mays	GRMZM2G156785_P04	HMG	Genome	Other
Zea mays	GRMZM2G162284_P01	HMG	Genome	Other
Zea mays	GRMZM2G162284_P02	HMG	Genome	Other
Zea mays	GRMZM2G162284_P03	HMG	Genome	Other
Zea mays	GRMZM2G027061_P01	IWS1	Genome	Other
Zea mays	GRMZM2G027061_P02	IWS1	Genome	Other
Zea mays	GRMZM2G085254_P01	IWS1	Genome	Other
Zea mays	GRMZM2G085254_P02	IWS1	Genome	Other
Zea mays	GRMZM2G085254_P03	IWS1	Genome	Other
Zea mays	GRMZM2G100881_P01	IWS1	Genome	Other
Zea mays	GRMZM2G100881_P02	IWS1	Genome	Other
Zea mays	AC177840.3_FGP053	Jumonji	Genome	Other
Zea mays	GRMZM2G025326_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G025658_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G027075_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G027075_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G044301_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G054162_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G057466_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G060919_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G060919_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G061170_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G061170_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G070885_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G078198_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G078198_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G080760_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G080760_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G080760_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G080760_P04	Jumonji	Genome	Other
Zea mays	GRMZM2G081556_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G081556_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G081556_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G107109_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G107109_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G108589_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G108589_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G115717_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G117538_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G117538_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G140524_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G142964_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G152877_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G156910_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G156910_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G162582_P03	Jumonji	Genome	Other
Zea mays	GRMZM2G162582_P05	Jumonji	Genome	Other
Zea mays	GRMZM2G174447_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G174447_P02	Jumonji	Genome	Other
Zea mays	GRMZM2G177418_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G180086_P01	Jumonji	Genome	Other
Zea mays	GRMZM2G036169_P01	LUG	Genome	Other
Zea mays	GRMZM2G036169_P02	LUG	Genome	Other
Zea mays	GRMZM2G042584_P01	LUG	Genome	Other
Zea mays	GRMZM2G042584_P02	LUG	Genome	Other
Zea mays	GRMZM2G042584_P03	LUG	Genome	Other
Zea mays	GRMZM2G042584_P04	LUG	Genome	Other
Zea mays	GRMZM2G060894_P01	LUG	Genome	Other
Zea mays	GRMZM2G060894_P02	LUG	Genome	Other
Zea mays	GRMZM2G062822_P02	LUG	Genome	Other
Zea mays	GRMZM2G062822_P03	LUG	Genome	Other
Zea mays	GRMZM2G062822_P04	LUG	Genome	Other
Zea mays	GRMZM2G079013_P01	LUG	Genome	Other
Zea mays	GRMZM2G178994_P01	LUG	Genome	Other
Zea mays	GRMZM2G178994_P02	LUG	Genome	Other
Zea mays	GRMZM2G178994_P03	LUG	Genome	Other
Zea mays	GRMZM2G019031_P01	MBF1	Genome	Other
Zea mays	GRMZM2G019031_P02	MBF1	Genome	Other
Zea mays	GRMZM2G051135_P01	MBF1	Genome	Other
Zea mays	GRMZM2G094912_P01	MBF1	Genome	Other
Zea mays	GRMZM2G094912_P02	MBF1	Genome	Other
Zea mays	GRMZM2G094912_P03	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P01	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P02	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P03	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P04	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P05	MBF1	Genome	Other
Zea mays	GRMZM2G101480_P07	MBF1	Genome	Other
Zea mays	GRMZM2G017537_P01	MED6	Genome	Other
Zea mays	GRMZM2G017537_P03	MED6	Genome	Other
Zea mays	GRMZM2G114411_P01	MED6	Genome	Other
Zea mays	GRMZM2G114411_P02	MED6	Genome	Other
Zea mays	GRMZM2G061672_P02	MED7	Genome	Other
Zea mays	GRMZM2G066981_P01	MED7	Genome	Other
Zea mays	GRMZM2G066981_P02	MED7	Genome	Other
Zea mays	GRMZM2G066981_P03	MED7	Genome	Other
Zea mays	GRMZM2G066981_P06	MED7	Genome	Other
Zea mays	GRMZM2G066981_P07	MED7	Genome	Other
Zea mays	AC208440.2_FGP043	PHD	Genome	Other
Zea mays	GRMZM2G006032_P01	PHD	Genome	Other
Zea mays	GRMZM2G009552_P01	PHD	Genome	Other
Zea mays	GRMZM2G011434_P01	PHD	Genome	Other
Zea mays	GRMZM2G011434_P02	PHD	Genome	Other
Zea mays	GRMZM2G011648_P01	PHD	Genome	Other
Zea mays	GRMZM2G011648_P02	PHD	Genome	Other
Zea mays	GRMZM2G013794_P01	PHD	Genome	Other
Zea mays	GRMZM2G013794_P02	PHD	Genome	Other
Zea mays	GRMZM2G022945_P01	PHD	Genome	Other
Zea mays	GRMZM2G025703_P02	PHD	Genome	Other
Zea mays	GRMZM2G025703_P03	PHD	Genome	Other
Zea mays	GRMZM2G031075_P01	PHD	Genome	Other
Zea mays	GRMZM2G032604_P01	PHD	Genome	Other
Zea mays	GRMZM2G032748_P01	PHD	Genome	Other
Zea mays	GRMZM2G036160_P01	PHD	Genome	Other
Zea mays	GRMZM2G038050_P01	PHD	Genome	Other
Zea mays	GRMZM2G038050_P02	PHD	Genome	Other
Zea mays	GRMZM2G039895_P01	PHD	Genome	Other
Zea mays	GRMZM2G045544_P01	PHD	Genome	Other
Zea mays	GRMZM2G045544_P02	PHD	Genome	Other
Zea mays	GRMZM2G050495_P01	PHD	Genome	Other
Zea mays	GRMZM2G050495_P02	PHD	Genome	Other
Zea mays	GRMZM2G057070_P01	PHD	Genome	Other
Zea mays	GRMZM2G059266_P01	PHD	Genome	Other
Zea mays	GRMZM2G062376_P03	PHD	Genome	Other
Zea mays	GRMZM2G062831_P01	PHD	Genome	Other
Zea mays	GRMZM2G065364_P01	PHD	Genome	Other
Zea mays	GRMZM2G067876_P01	PHD	Genome	Other
Zea mays	GRMZM2G067876_P02	PHD	Genome	Other
Zea mays	GRMZM2G067876_P04	PHD	Genome	Other
Zea mays	GRMZM2G068331_P01	PHD	Genome	Other
Zea mays	GRMZM2G068331_P02	PHD	Genome	Other
Zea mays	GRMZM2G071613_P01	PHD	Genome	Other
Zea mays	GRMZM2G071613_P02	PHD	Genome	Other
Zea mays	GRMZM2G073581_P01	PHD	Genome	Other
Zea mays	GRMZM2G076965_P01	PHD	Genome	Other
Zea mays	GRMZM2G079349_P01	PHD	Genome	Other
Zea mays	GRMZM2G081350_P01	PHD	Genome	Other
Zea mays	GRMZM2G084202_P01	PHD	Genome	Other
Zea mays	GRMZM2G084296_P01	PHD	Genome	Other
Zea mays	GRMZM2G084665_P01	PHD	Genome	Other
Zea mays	GRMZM2G085266_P01	PHD	Genome	Other
Zea mays	GRMZM2G087482_P01	PHD	Genome	Other
Zea mays	GRMZM2G091103_P01	PHD	Genome	Other
Zea mays	GRMZM2G091103_P02	PHD	Genome	Other
Zea mays	GRMZM2G091265_P01	PHD	Genome	Other
Zea mays	GRMZM2G091265_P05	PHD	Genome	Other
Zea mays	GRMZM2G097726_P02	PHD	Genome	Other
Zea mays	GRMZM2G099216_P02	PHD	Genome	Other
Zea mays	GRMZM2G099216_P03	PHD	Genome	Other
Zea mays	GRMZM2G102098_P01	PHD	Genome	Other
Zea mays	GRMZM2G102098_P02	PHD	Genome	Other
Zea mays	GRMZM2G103230_P01	PHD	Genome	Other
Zea mays	GRMZM2G108288_P02	PHD	Genome	Other
Zea mays	GRMZM2G108288_P03	PHD	Genome	Other
Zea mays	GRMZM2G108288_P04	PHD	Genome	Other
Zea mays	GRMZM2G108867_P01	PHD	Genome	Other
Zea mays	GRMZM2G119357_P01	PHD	Genome	Other
Zea mays	GRMZM2G119442_P01	PHD	Genome	Other
Zea mays	GRMZM2G119442_P02	PHD	Genome	Other
Zea mays	GRMZM2G138579_P01	PHD	Genome	Other
Zea mays	GRMZM2G138579_P02	PHD	Genome	Other
Zea mays	GRMZM2G142197_P01	PHD	Genome	Other
Zea mays	GRMZM2G143042_P01	PHD	Genome	Other
Zea mays	GRMZM2G143042_P02	PHD	Genome	Other
Zea mays	GRMZM2G150786_P01	PHD	Genome	Other
Zea mays	GRMZM2G151875_P01	PHD	Genome	Other
Zea mays	GRMZM2G155123_P01	PHD	Genome	Other
Zea mays	GRMZM2G155123_P02	PHD	Genome	Other
Zea mays	GRMZM2G155123_P03	PHD	Genome	Other
Zea mays	GRMZM2G156104_P01	PHD	Genome	Other
Zea mays	GRMZM2G158194_P01	PHD	Genome	Other
Zea mays	GRMZM2G161479_P01	PHD	Genome	Other
Zea mays	GRMZM2G161479_P02	PHD	Genome	Other
Zea mays	GRMZM2G162368_P01	PHD	Genome	Other
Zea mays	GRMZM2G162368_P02	PHD	Genome	Other
Zea mays	GRMZM2G165452_P01	PHD	Genome	Other
Zea mays	GRMZM2G165452_P03	PHD	Genome	Other
Zea mays	GRMZM2G165452_P04	PHD	Genome	Other
Zea mays	GRMZM2G168249_P01	PHD	Genome	Other
Zea mays	GRMZM2G168249_P02	PHD	Genome	Other
Zea mays	GRMZM2G170412_P01	PHD	Genome	Other
Zea mays	GRMZM2G172440_P02	PHD	Genome	Other
Zea mays	GRMZM2G172440_P03	PHD	Genome	Other
Zea mays	GRMZM2G173852_P01	PHD	Genome	Other
Zea mays	GRMZM2G173852_P02	PHD	Genome	Other
Zea mays	GRMZM2G174266_P02	PHD	Genome	Other
Zea mays	GRMZM2G177087_P01	PHD	Genome	Other
Zea mays	GRMZM2G178072_P01	PHD	Genome	Other
Zea mays	GRMZM2G178072_P02	PHD	Genome	Other
Zea mays	GRMZM2G020081_P01	Pseudo ARR-B	Genome	Other
Zea mays	GRMZM2G033962_P01	Pseudo ARR-B	Genome	Other
Zea mays	GRMZM2G095727_P05	Pseudo ARR-B	Genome	Other
Zea mays	GRMZM2G179024_P01	Pseudo ARR-B	Genome	Other
Zea mays	GRMZM2G003043_P01	RB	Genome	Other
Zea mays	GRMZM2G003043_P02	RB	Genome	Other
Zea mays	GRMZM2G016997_P01	RB	Genome	Other
Zea mays	GRMZM2G033828_P01	RB	Genome	Other
Zea mays	GRMZM2G033828_P02	RB	Genome	Other
Zea mays	GRMZM2G033828_P03	RB	Genome	Other
Zea mays	GRMZM2G137537_P01	RB	Genome	Other
Zea mays	GRMZM2G137537_P02	RB	Genome	Other
Zea mays	GRMZM2G137537_P03	RB	Genome	Other
Zea mays	GRMZM2G153150_P01	RB	Genome	Other
Zea mays	GRMZM2G153150_P02	RB	Genome	Other
Zea mays	GRMZM2G153150_P03	RB	Genome	Other
Zea mays	GRMZM2G155528_P01	RB	Genome	Other
Zea mays	GRMZM2G155528_P02	RB	Genome	Other
Zea mays	GRMZM2G155528_P03	RB	Genome	Other
Zea mays	GRMZM2G155528_P04	RB	Genome	Other
Zea mays	GRMZM2G155528_P05	RB	Genome	Other
Zea mays	GRMZM2G156101_P01	RB	Genome	Other
Zea mays	GRMZM2G156101_P02	RB	Genome	Other
Zea mays	GRMZM2G045331_P01	Rcd1-like	Genome	Other
Zea mays	GRMZM2G045331_P02	Rcd1-like	Genome	Other
Zea mays	GRMZM2G045331_P03	Rcd1-like	Genome	Other
