id,category,trait,tissue,padj
AC148152.3_FG005,Metabolite,X.204..allantoin.1..17.293,GShoot,1
AC148152.3_FG005,Metabolite,X.204..allantoin.1..17.293,L3Base,0.105189013474335
AC148152.3_FG005,Metabolite,X.2116..alpha.tocophereol..27.379,GShoot,0.359354944373722
AC148152.3_FG005,Metabolite,X.2116..alpha.tocophereol..27.379,L3Tip,0.141540016895477
AC148152.3_FG005,Metabolite,X.236..L.asparagine.2..14.984,L3Base,0.19495680952916
AC148152.3_FG005,Metabolite,X.3037582..mucic.acid..18.907,L3Base,4.6132404016852e-06
AC148152.3_FG005,Metabolite,X.311..citric.acid..16.615..s100,L3Tip,0.00399209742901929
AC148152.3_FG005,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,L3Base,0.546217953585037
AC148152.3_FG005,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,L3Base,0.0213193958391091
AC148152.3_FG005,Metabolite,X.439194..glyceric.acid..10.735,GShoot,0.428378279858141
AC148152.3_FG005,Metabolite,X.439242..Raffinose..29.282,GShoot,1
AC148152.3_FG005,Metabolite,X.439242..Raffinose..29.282,L3Base,0.325522335827438
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,GShoot,1
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,L3Base,0.977283766412079
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,L3Tip,0.638443638147606
AC148152.3_FG005,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Base,0.618177316251912
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,GShoot,0.428378279858141
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,L3Base,1
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,L3Tip,0.036458954997955
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Base,0.0009393742035535
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Tip,0.00407697264230933
AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,GShoot,1
AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Base,8.32044433352053e-10
AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Tip,0.00201772253621968
AC148152.3_FG005,Metabolite,X.444972..fumaric.acid..10.94,GShoot,0.428378279858141
AC148152.3_FG005,Metabolite,X.444972..fumaric.acid..10.94,L3Base,0.975118244074436
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,GShoot,1
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,L3Base,0.974711144983523
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,L3Tip,0.930321037603596
AC148152.3_FG005,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,GShoot,0.961150856185206
AC148152.3_FG005,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,L3Tip,0.0731991664320979
AC148152.3_FG005,Metabolite,X.5280450..linoleic.acid..20.399,L3Base,0.0161499732281816
AC148152.3_FG005,Metabolite,X.5321342..beta.sitosterol..28.848,L3Tip,1
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,GShoot,0.38359255362754
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,L3Base,0.635756493881278
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,L3Tip,2.02237848867526e-06
AC148152.3_FG005,Metabolite,X.5460407..threonic.acid..13.652,L3Tip,0.0143617344941598
AC148152.3_FG005,Metabolite,X.5460673..D.saccharic.acid..18.614,L3Base,0.068123111245215
AC148152.3_FG005,Metabolite,X.5460673..D.saccharic.acid..18.614,L3Tip,1
AC148152.3_FG005,Metabolite,X.5460935..turanose.1..24.81,L3Base,1
AC148152.3_FG005,Metabolite,X.5460935..turanose.1..24.81,L3Tip,0.0918265581196327
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,GRoot,0.246426586857909
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,GShoot,0.321687003735007
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,L3Base,1
AC148152.3_FG005,Metabolite,X.5962..L.lysine.2..17.643,L3Base,0.77968915388651
AC148152.3_FG005,Metabolite,X.5984..fructose.1..17.18..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.5984..fructose.1..17.18..s100,L3Tip,0.50358856220566
AC148152.3_FG005,Metabolite,X.5988..Sucrose..23.988..s100,GShoot,0.414798972521303
AC148152.3_FG005,Metabolite,X.5988..Sucrose..23.988..s100,L3Base,0.0887206471520496
AC148152.3_FG005,Metabolite,X.6057..tyrosine.2..17.871,GRoot,0.531184098764475
AC148152.3_FG005,Metabolite,X.6057..tyrosine.2..17.871,L3Base,0.00582985887460374
AC148152.3_FG005,Metabolite,X.60961..adenosine..23.825,L3Base,0.000700647634359175
AC148152.3_FG005,Metabolite,X.6106..L.leucine.2..9.945,GShoot,0.56096099080705
AC148152.3_FG005,Metabolite,X.6255..maltose..2..24.915,L3Tip,1.43024015025691e-13
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,GShoot,1
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,L3Base,0.797757915681896
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,L3Tip,0.900131192179911
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,GRoot,1
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,GShoot,0.564103583317462
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,L3Base,0.000503154411730655
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,L3Tip,1
AC148152.3_FG005,Metabolite,X.6288..L.threonine.2..11.464,L3Base,1
AC148152.3_FG005,Metabolite,X.6288..L.threonine.2..11.464,L3Tip,0.915870122007006
AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,GShoot,1
AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,L3Base,0.0942022036851204
AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,L3Tip,1.20910079268732e-05
AC148152.3_FG005,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GShoot,0.00053278789408906
AC148152.3_FG005,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,L3Base,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,GRoot,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,GShoot,0.280586514312622
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,L3Base,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,L3Tip,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,L3Tip,3.30850546292893e-07
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.1..26.37,L3Base,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,GShoot,0.856756559716281
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,L3Base,0.759797110579233
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,L3Tip,0.330290243257205
AC148152.3_FG005,Metabolite,X.6912..xylitol..15.376,GShoot,0.807880052186655
AC148152.3_FG005,Metabolite,X.6912..xylitol..15.376,L3Tip,3.61597098530453e-06
AC148152.3_FG005,Metabolite,X.700..ethanolamine..9.879,GRoot,1
AC148152.3_FG005,Metabolite,X.700..ethanolamine..9.879,GShoot,0.862854852316869
AC148152.3_FG005,Metabolite,X.700..ethanolamine..9.879,L3Tip,1
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,GRoot,0.400579078836988
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,GShoot,1
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,L3Base,9.9121741259367e-08
AC148152.3_FG005,Metabolite,X.791..DL.isoleucine.2..10.225,GShoot,0.0039067345749455
AC148152.3_FG005,Metabolite,X.791..DL.isoleucine.2..10.225,L3Base,0.692933444331005
AC148152.3_FG005,Metabolite,X.827..ribitol..15.66,GShoot,0.198842239602492
AC148152.3_FG005,Metabolite,X.835..dehydroascorbic.acid..1..16.863,GShoot,0.611725550957459
AC148152.3_FG005,Metabolite,X.8742..shikimic.acid..16.433..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.8742..shikimic.acid..16.433..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.8742..shikimic.acid..16.433..s100,L3Tip,0.139430254380985
AC148152.3_FG005,Metabolite,X.892..myo.inositol..19.354..s100,L3Tip,0.00223952449234144
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Base,7.14889390724949e-05
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Tip,0.000233285398819838
AC148152.3_FG005,Metabolite,X.938..nicotinic.acid..10.27,L3Base,0.315163429017687
AC148152.3_FG005,Metabolite,X.971..oxalic.acid..7.883,GShoot,0.438182557720862
AC148152.3_FG005,Metabolite,X.9750..citrulline.2..16.691,GShoot,1
AC148152.3_FG005,Metabolite,X.9750..citrulline.2..16.691,L3Tip,0.1355824305645
AC148152.3_FG005,other,EarDiameter,L3Tip,0.179879601031362
AC148152.3_FG005,other,GerminationCount,L3Base,0.0246047999764105
AC148152.3_FG005,other,MainSpikeLength,GShoot,1
AC148152.3_FG005,other,MiddleLeafAngle,L3Base,0.0163747046444589
AC148152.3_FG005,other,NIROil,L3Base,0.382373181480091
AC148152.3_FG005,other,NIROil,L3Tip,1
AC148152.3_FG005,other,NIRProtein,L3Tip,0.210609692656415
AC148152.3_FG005,other,NIRStarch,L3Tip,1
AC148152.3_FG005,other,NumberofTilleringPlants,GShoot,0.907274750132038
AC148152.3_FG005,other,NumberofTilleringPlants,L3Base,1
AC148152.3_FG005,other,NumberofTilleringPlants,L3Tip,0.772909046867653
AC148152.3_FG005,other,SecondaryBranchNumber,GRoot,0.539586489622516
AC148152.3_FG005,other,SecondaryBranchNumber,GShoot,0.549479721697686
AC148152.3_FG005,other,SeedSetLength,L3Tip,0.100675856946523
AC148152.3_FG005,other,Spikelets.MainSpike,L3Base,0.0016571325169612
AC148152.3_FG005,other,StandCount,GShoot,0.372523890844335
AC148152.3_FG005,other,StandCount,L3Base,0.000309522468022738
AC148152.3_FG005,other,StandCount,L3Tip,0.673887348181369
AC148152.3_FG005,other,TasselBranchLength,L3Base,0.0228430747895059
AC148152.3_FG005,other,TilleringIndex,GRoot,1
AC148152.3_FG005,other,TilleringIndex,L3Tip,1
AC148152.3_FG005,Seed Traits,TotalKernelNum,L3Base,0.302964617184646
AC148152.3_FG005,Seed Traits,TotalKernelVolume,L3Base,0.00549533991565632
AC148152.3_FG005,Seed Traits,TotalSeedWeight,L3Tip,0.00276636764510885
AC148152.3_FG005,Seed Traits,X20KernelWeight,GShoot,1
AC148152.3_FG005,Seed Traits,X20KernelWeight,L3Base,0.335973234446412
AC148152.3_FG005,Seed Traits,X20KernelWeight,L3Tip,0.962616874504164
AC148152.3_FG008,Development,EarHeight,L3Base,1
AC148152.3_FG008,Development,EarHeight,LMAD,0.327407726502385
AC148152.3_FG008,Development,EarHeight,LMAN,0.86640906032761
AC148152.3_FG008,Development,PlantHeight,L3Base,0.635615991187976
AC148152.3_FG008,Development,PlantHeight,LMAD,0.815420795341704
AC148152.3_FG008,Development,PlantHeight,LMAN,1
AC148152.3_FG008,Female Inflorescence,CobDiameter,L3Base,0.622084798447239
AC148152.3_FG008,Female Inflorescence,CobDiameter,L3Tip,0.232787949323284
AC148152.3_FG008,Female Inflorescence,CobDiameter,LMAD,0.327407726502385
AC148152.3_FG008,Female Inflorescence,EarLength,L3Tip,0.232787949323284
AC148152.3_FG008,Female Inflorescence,EarLength,LMAD,0.72021117202724
AC148152.3_FG008,Female Inflorescence,EarLength,LMAN,1
AC148152.3_FG008,Female Inflorescence,EarRankNumber,GShoot,0.426343312527012
AC148152.3_FG008,Female Inflorescence,EarRankNumber,LMAD,0.90500351815473
AC148152.3_FG008,Female Inflorescence,EarRowNumber,L3Tip,0.286955343452102
AC148152.3_FG008,Female Inflorescence,EarRowNumber,LMAD,1
AC148152.3_FG008,Flowering Time,DaystoSilk,GShoot,0.295733872084046
AC148152.3_FG008,Flowering Time,DaystoSilk,L3Base,0.813047711682639
AC148152.3_FG008,Flowering Time,DaystoSilk,LMAD,1
AC148152.3_FG008,Flowering Time,DaystoSilk,LMAN,1
AC148152.3_FG008,Flowering Time,DaysToTassel,GShoot,0.541769162874835
AC148152.3_FG008,Flowering Time,DaysToTassel,L3Base,0.622084798447239
AC148152.3_FG008,Flowering Time,DaysToTassel,LMAD,1
AC148152.3_FG008,Flowering Time,DaysToTassel,LMAN,1
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,GShoot,0.295733872084046
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,L3Base,0.622084798447239
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,LMAD,1
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,LMAN,1
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,GShoot,0.405824212040241
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,L3Base,0.855440651947397
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,LMAD,1
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,LMAN,1
AC148152.3_FG008,Leaf Morphology,LeafLength,L3Base,0.622084798447239
AC148152.3_FG008,Leaf Morphology,LeafLength,LMAD,0.327407726502385
AC148152.3_FG008,Leaf Morphology,LeafLength,LMAN,0.86640906032761
AC148152.3_FG008,Leaf Morphology,LeafWidth,GShoot,0.441577506841723
AC148152.3_FG008,Leaf Morphology,LeafWidth,LMAD,1
AC148152.3_FG008,Leaf Morphology,LeafWidth,LMAN,1
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,GShoot,0.707376626117277
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,LMAD,0.588679072399152
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,LMAN,1
AC148152.3_FG008,Male Inflorescence,TasselLength,L3Base,1
AC148152.3_FG008,Male Inflorescence,TasselLength,LMAD,0.915612473732587
AC148152.3_FG008,Male Inflorescence,TasselLength,LMAN,0.555072364260156
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,GShoot,1
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,LMAD,0.327407726502385
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,LMAN,1
AC148152.3_FG008,Metabolite,X.1001..phenethylamine..13.742,LMAD,0.631523928039215
AC148152.3_FG008,Metabolite,X.1001..phenethylamine..13.742,LMAN,1
AC148152.3_FG008,Metabolite,X.1060..pyruvic.acid..6.714,L3Base,0.62961822433649
AC148152.3_FG008,Metabolite,X.1060..pyruvic.acid..6.714,LMAD,1
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,L3Base,1
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,L3Tip,0.970297315757984
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,LMAD,1
AC148152.3_FG008,Metabolite,X.128869..galactonic.acid.2..18.504,LMAN,1
AC148152.3_FG008,Metabolite,X.1549111..caffeic.acid..19.755,GShoot,0.94941977595284
AC148152.3_FG008,Metabolite,X.204..allantoin.1..17.293,LMAD,1
AC148152.3_FG008,Metabolite,X.204..allantoin.1..17.293,LMAN,0.843385321235669
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,L3Tip,1
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,LMAD,1
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,LMAN,1
AC148152.3_FG008,Metabolite,X.239..Beta..alanine..1..12.044,L3Tip,1
AC148152.3_FG008,Metabolite,X.239..Beta..alanine..1..12.044,LMAD,1
AC148152.3_FG008,Metabolite,X.2724705..1.6.anhydro.glucose..15.326,L3Base,1
AC148152.3_FG008,Metabolite,X.3037582..mucic.acid..18.907,LMAN,1
AC148152.3_FG008,Metabolite,X.311..citric.acid..16.615..s100,LMAD,1.82393671055436e-06
AC148152.3_FG008,Metabolite,X.311..citric.acid..16.615..s100,LMAN,1
AC148152.3_FG008,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,GShoot,0.378204070819995
AC148152.3_FG008,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,L3Tip,0.108392603771485
AC148152.3_FG008,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,LMAN,1
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,GShoot,0.43680465195569
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,L3Tip,1
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,LMAD,1
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,L3Base,1
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,L3Tip,1.55431744097712e-06
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,LMAD,0.484419272024196
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,LMAN,0.941550438406406
AC148152.3_FG008,Metabolite,X.439242..Raffinose..29.282,L3Tip,0.151793491659085
AC148152.3_FG008,Metabolite,X.439242..Raffinose..29.282,LMAD,0.412877864777241
AC148152.3_FG008,Metabolite,X.439242..Raffinose..29.282,LMAN,1
AC148152.3_FG008,Metabolite,X.439451..galactinol.2..26.479,LMAD,1
AC148152.3_FG008,Metabolite,X.439451..galactinol.2..26.479,LMAN,1
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Tip,8.13592857662471e-06
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,LMAD,0.252609571215686
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,LMAN,0.850669095818062
AC148152.3_FG008,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,LMAD,1
AC148152.3_FG008,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,LMAN,0.593960707354176
