HMP32Name	AC148152.3_FG005	GRMZM2G023325	GRMZM2G311036	GRMZM2G336824	tissue
CML14	5.5541	0	90.25421	47.20989	GRoot
CML154Q	18.69215	0	33.10069	10.12492	GRoot
CML157Q	2.76879	0	88.99693	9.09746	GRoot
CML158Q	5.27122	0	311.81284	4.86574	GRoot
CML218	65.98286	0	153.72602	23.16419	GRoot
CML220	15.81955	0	43.58448	8.39405	GRoot
CML228	32.1724	0	134.74185	8.60054	GRoot
CML247	16.58354	0	163.99276	33.16707	GRoot
CML254	41.723	0	157.73328	14.24688	GRoot
CML258	18.94641	0	32.08259	2.02095	GRoot
CML261	6.4517	0	106.45311	7.52699	GRoot
CML264	0.9393	0	70.44715	5.16612	GRoot
CML277	0	0	1.26301	73.25448	GRoot
CML314	24.10991	0	59.24149	24.79876	GRoot
CML321	0.34342	0	95.47106	2.40395	GRoot
CML323	2.14541	0	31.56824	6.74273	GRoot
CML328	137.84298	0	109.5675	43.0023	GRoot
CML331	0	0	138.87851	9.91989	GRoot
CML332	2.44422	0	169.87311	1.22211	GRoot
CML333	34.55604	0	48.89311	24.63037	GRoot
CML341	1.8976	0	171.16347	15.93983	GRoot
CML38	6.04219	0	360.51749	58.40786	GRoot
CML45	70.34514	0	127.10879	44.57514	GRoot
CML69	3.68442	0	110.90102	51.21343	GRoot
CML77	14.67102	0	206.2573	39.69806	GRoot
CML91	27.02078	0	106.93329	53.46664	GRoot
CML92	15.44349	0	35.69161	23.33682	GRoot
CMV3	1.95058	0	173.60175	36.22508	GRoot
CO106	14.20859	0	218.07104	122.31747	GRoot
CO125	87.87362	0	235.90688	12.84307	GRoot
CO255	44.99627	0	201.33369	33.50088	GRoot
Ci7Goodman-Buckler	4.66013	0	270.67593	76.11547	GRoot
Ci90CGoodman-Buckler	5.42646	0	132.15025	4.46885	GRoot
Ci91BGoodman-Buckler	31.69091	0	99.8744	15.84546	GRoot
D940Y	7.71797	0	230.43652	27.56418	GRoot
DE1	17.5799	0	225.96598	17.5799	GRoot
DE811	8.62157	0	96.0265	13.6756	GRoot
E2558W	0.73758	0	115.06323	18.80841	GRoot
EP1	154.32355	0	143.57464	1.53556	GRoot
F2834T	1.4441	0	157.40698	19.97673	GRoot
F6	12.15567	0	169.20688	17.50416	GRoot
F7	4.32274	0	362.24592	63.11206	GRoot
GA209	135.22344	0	101.11574	5.73492	GRoot
GT112	39.98334	0	86.84905	25.23538	GRoot
H105W	16.16662	0	147.47917	34.64276	GRoot
H49	34.18689	0	120.64298	9.3237	GRoot
H84	11.51234	0	566.98276	161.17276	GRoot
H91	13.17927	0	91.78421	8.94308	GRoot
H95	0.97747	0	175.61912	29.32416	GRoot
H99	29.14749	0	109.11625	20.17903	GRoot
HP301	44.07099	0	236.68713	46.14492	GRoot
Hi27Goodman-Buckler	1.22319	0	40.7729	70.53712	GRoot
I137TN	2.79421	0	107.11134	4.65701	GRoot
I205	9.56601	0	135.64118	10.30186	GRoot
I29	25.32321	0	92.63809	17.63009	GRoot
IA2132Goodman-Buckler	153.89746	0	247.39017	57.32681	GRoot
IDS28	16.26103	0	151.14419	17.92883	GRoot
IDS69	2.14927	0	241.94584	47.28383	GRoot
IDS91	3.02536	0	294.01015	51.43115	GRoot
ILLHy	15.74733	0	52.4911	2.29649	GRoot
Ia5125	35.83824	0	151.72394	21.45063	GRoot
Il101	39.27781	0	172.17266	32.19009	GRoot
Il14H	0	0	233.85749	13.51989	GRoot
K148	0.85805	0	93.74198	6.8644	GRoot
K4	79.53945	0	111.66115	4.58881	GRoot
K55	10.77798	0	69.05893	9.58043	GRoot
K64	3.44179	0	116.67664	14.45551	GRoot
KY226	14.13072	0	81.95816	32.97168	GRoot
KY228	9.82709	0	202.74831	28.96404	GRoot
Ki11	159.00895	0	61.70497	20.17278	GRoot
Ki14	32.93523	0	228.46648	51.30962	GRoot
Ki2021	15.23132	0	110.6809	10.15421	GRoot
Ki21	53.55013	0	189.55046	25.50006	GRoot
Ki43	5.48144	0	32.49714	2.34919	GRoot
Ki44	3.30984	0	73.64387	6.06803	GRoot
Ky21	1.24563	0	118.74994	12.8715	GRoot
L317	75.47178	0	82.23045	36.04622	GRoot
L578	28.1266	0	173.12406	73.22614	GRoot
M14	62.48065	0	150.28026	17.15155	GRoot
M162W	0.50305	0	41.25009	22.13419	GRoot
M37W	22.63922	0	160.79648	6.96591	GRoot
MEF156-55-2	11.88119	0	93.51644	13.79751	GRoot
MO1W	18.20321	0	96.76442	13.41289	GRoot
MS1334	74.96058	0	213.30246	21.33025	GRoot
MS153	16.06259	0	90.57515	13.38549	GRoot
Mo17	50.19339	0	125.65655	55.38581	GRoot
Mo18W	2.59499	0	118.50461	16.43495	GRoot
Mo44	23.19049	0	166.60536	27.15728	GRoot
Mo45	86.21848	0	77.50954	13.9343	GRoot
Mo46	103.01862	0	144.71663	26.06126	GRoot
Mo47	24.66501	0	142.3844	11.21137	GRoot
MoG	21.01023	0	173.1243	9.2445	GRoot
Mp339	37.24118	0	46.81748	9.5763	GRoot
Mt42	33.88718	0	289.0233	53.04081	GRoot
N192	26.68491	0	300.06526	52.06356	GRoot
N28Ht	12.47117	0	181.6114	38.19296	GRoot
NC222	1.03119	0	204.17619	4.12477	GRoot
NC230	20.08326	0	93.83728	13.50426	GRoot
NC232	27.00913	0	293.58702	35.573	GRoot
NC236	33.95181	0	285.06705	93.52762	GRoot
NC238	26.13606	0	217.92319	63.68363	GRoot
NC250	22.43291	0	299.68969	93.58731	GRoot
NC258	75.58487	0	91.92755	27.57827	GRoot
NC260	21.00049	0	91.41389	37.47146	GRoot
NC262	54.3223	0	208.67077	60.85143	GRoot
NC264	47.27236	0	231.82884	7.7708	GRoot
NC290A	9.17162	0	393.30056	153.21997	GRoot
NC294	75.05243	0	251.0924	53.75377	GRoot
NC296	24.31111	0	72.57046	1.45141	GRoot
NC296A	16.04965	0	67.5192	6.0878	GRoot
NC300	62.46474	0	90.59214	11.68931	GRoot
NC302	5.27625	0	72.54838	22.42404	GRoot
NC304	8.18577	0	104.07617	43.85232	GRoot
NC306	10.2846	0	88.10471	7.19922	GRoot
NC310	47.50717	0	155.69396	27.20865	GRoot
NC314	32.7101	0	336.93863	85.58733	GRoot
NC318	7.14279	0	114.2846	50.95189	GRoot
NC320	5.8473	0	124.62057	15.34916	GRoot
NC324	20.4307	0	272.98888	46.94713	GRoot
NC326	53.83687	0	152.53779	27.87981	GRoot
NC328	56.13835	0	181.94237	28.74554	GRoot
NC33	7.53374	0	29.34193	5.94769	GRoot
NC336	8.64394	0	142.62502	11.11364	GRoot
NC338	24.44556	0	115.36106	16.20548	GRoot
NC340	33.68444	0	72.44829	12.2975	GRoot
NC342	14.42691	0	319.7964	212.79685	GRoot
NC344	60.13155	0	195.95315	60.97255	GRoot
NC346	19.9055	0	56.65411	4.59358	GRoot
NC348	3.29443	0	131.77701	15.64852	GRoot
NC350	3.58352	0	68.80358	0.35835	GRoot
NC352	4.33585	0	36.85471	0	GRoot
NC354	4.96336	0	66.1781	1.10297	GRoot
NC356	36.69874	0	119.62573	20.27555	GRoot
NC358	4.76538	0	169.17093	19.4019	GRoot
NC360	81.42173	0	284.34323	54.42178	GRoot
NC362	138.96324	0	239.55604	45.62972	GRoot
NC364	30.88808	0	231.90575	19.61148	GRoot
NC366	34.96386	0	116.32207	27.56766	GRoot
NC368	3.60416	0	365.59718	47.75515	GRoot
ND246	1.50189	0	263.08128	37.7976	GRoot
OH7B	41.43466	0	166.9225	48.14313	GRoot
Oh40B	9.29947	0	79.18638	7.32685	GRoot
Oh43E	6.3371	0	110.5032	19.0113	GRoot
Oh603	44.29415	0	129.28129	3.96127	GRoot
Os420	13.46667	0	385.02424	65.49697	GRoot
Pa762	153.52346	0	150.66277	30.99076	GRoot
Pa875	10.01796	0	235.4221	41.32409	GRoot
Pa880	2.88885	0	227.73783	139.14637	GRoot
Pa91	20.52775	0	151.42237	12.55816	GRoot
R168	3.52812	0	132.89234	22.34473	GRoot
R177	7.08485	0	159.4092	14.16971	GRoot
R229	89.30713	0	0	84.60675	GRoot
R4	13.95282	0	148.07075	11.95956	GRoot
SA24	1.60401	0	221.03282	46.19554	GRoot
SC213R	49.49465	0	143.81464	49.49465	GRoot
SC357	29.34013	0	372.29364	48.24821	GRoot
SC55	1.53284	0	63.99588	3.83209	GRoot
SD40	108.98193	0	143.36944	19.04539	GRoot
SD44	7.52759	0	215.28899	28.60483	GRoot
Sg1533	19.38739	0	219.12851	9.69369	GRoot
Sg18	96.27746	0	114.45989	10.43254	GRoot
T232	20.75149	0	180.83438	42.68877	GRoot
T234	11.99632	0.31569	133.22234	14.83756	GRoot
T8	5.64773	0	201.83197	33.29187	GRoot
Tx303	58.57056	0	19.52352	3.00362	GRoot
Tx601	0.84987	0	135.1286	9.34852	GRoot
Tzi10	0.33021	0	163.45518	14.85956	GRoot
Tzi11	35.23518	0	77.14651	15.20676	GRoot
Tzi16	1.5421	0	37.78145	11.18022	GRoot
Tzi18	7.91477	0	154.85415	5.50593	GRoot
Tzi25	52.2864	0	94.31099	21.01229	GRoot
Tzi9	45.67885	0	91.35769	26.24104	GRoot
U267Y	6.04112	0	114.78134	47.12076	GRoot
VA102	15.26686	0	221.36951	79.11011	GRoot
Va14	37.7161	0	226.29658	30.38241	GRoot
Va17	22.14528	0	273.55934	70.34383	GRoot
Va22	49.54593	0	253.88243	31.41147	GRoot
Va26	5.39235	0	144.17431	28.94838	GRoot
Va35	13.32877	0	455.84404	121.29184	GRoot
Va59	5.1436	0	373.93968	73.29629	GRoot
Va85	1.18294	0	162.06293	7.88627	GRoot
Va99	15.18546	0	146.26	15.18546	GRoot
VaW6	96.0027	0	125.83404	21.15314	GRoot
W117Ht	38.1216	0	132.21538	14.52251	GRoot
W153R	5.58156	0	569.66832	169.88884	GRoot
W182B	38.24331	0	130.5736	31.68732	GRoot
Wf9	14.10954	0	110.52473	13.1689	GRoot
Yu796	22.72123	0	186.39113	28.49782	GRoot
i1677a	48.02396	0	86.36868	7.0733	GRoot
A272	9.23878	0	215.44826	23.28172	GRoot
B97	11.49884	0	59.41066	5.74942	GRoot
BKN014	128.98192	0	102.135	21.30244	GRoot
BKN015	71.53921	0	320.04383	45.18266	GRoot
BKN017	1.64679	0	134.37832	18.44408	GRoot
BKN018	8.03512	0	74.61187	2.86969	GRoot
BKN020	50.20606	0	420.64534	66.4891	GRoot
BKN022	22.80831	0	157.79629	18.61903	GRoot
BKN023	23.82097	0	81.95549	16.7314	GRoot
BKN027	1.48573	0	452.157	42.83853	GRoot
BKN032	25.16454	0	78.41125	2.18822	GRoot
BKN033	127.96059	0	136.63588	26.02588	GRoot
BKN034	156.37174	0	93.90365	23.77818	GRoot
BKN035	0	0	75.14385	32.90613	GRoot
CML103	13.50588	0	42.39346	22.88497	GRoot
CML133	3.77986	0	39.92482	15.82818	GRoot
CML192	61.52587	0	209.74728	8.38989	GRoot
CML202	20.63115	0	165.28101	37.78514	GRoot
CML206	0	0	73.57324	2.88523	GRoot
CML330	4.93641	0	96.75358	3.94913	GRoot
CML411	2.16069	0	62.2999	8.28265	GRoot
CML418	47.46716	0	92.6075	13.0302	GRoot
CML504	16.32516	0	85.0034	8.44405	GRoot
CML511	15.3649	0	60.0628	8.38086	GRoot
CML84	63.14967	0	97.93551	17.12534	GRoot
CML85	135.96763	0	144.01305	12.87268	GRoot
CML96	43.45666	0	47.19121	16.29625	GRoot
KI3	7.96119	0	93.69706	37.35634	GRoot
Ms71	8.13406	0	224.5	31.45169	GRoot
N6	30.54661	0	402.2754	76.60151	GRoot
Oh43	10.914	0	99.43863	18.18999	GRoot
W22	103.93127	0	109.35377	17.17125	GRoot
W64A	1.62307	0	83.58796	6.49227	GRoot
33-16	2.92202	0	26.29818	1.46101	GShoot
4226	146.99998	0	11.88569	0.68309	GShoot
A188	71.24515	0	28.73423	1.9681	GShoot
A214NGoodman-Buckler	15.66969	0	14.20066	0.97936	GShoot
A239	91.94418	0	16.93709	0	GShoot
A441-5	100.67512	0	46.42662	2.01855	GShoot
A554	55.24758	0	13.66012	3.03558	GShoot
A556	11.31999	0	66.89087	11.31999	GShoot
A6	66.7261	0	20.67569	20.98896	GShoot
A619	58.43052	0	14.93962	0.66398	GShoot
A632	32.07232	0	21.74395	4.34879	GShoot
A634	7.72887	0	12.18784	0.59453	GShoot
A635	119.74383	0	4.27657	3.28967	GShoot
A641	4.45504	0	13.68333	0.31822	GShoot
A654	19.31921	0	45.82695	2.6957	GShoot
A661	57.15094	0	52.85388	4.29706	GShoot
A679	68.73114	0.34025	39.80962	6.80506	GShoot
A680	5.15489	0	42.82521	8.32713	GShoot
A682	214.98322	0.28176	14.08802	0.56352	GShoot
Ab28A	34.83681	0	8.29448	12.02699	GShoot
B103	145.54926	0	32.94186	1.00842	GShoot
B104	54.44687	0	40.42268	3.29981	GShoot
B105	1.05897	0	16.94356	0.26474	GShoot
B109	48.79171	0	25.38487	1.31869	GShoot
B14A	24.50881	0	18.03478	2.08094	GShoot
B164	6.96932	0	6.96932	0	GShoot
B2	272.68132	0	31.62387	0.99446	GShoot
B37	16.26269	0	30.41726	1.80697	GShoot
B46	14.14874	0	27.73152	4.5276	GShoot
B52	132.65458	0	48.50527	6.24689	GShoot
B57	13.68244	0.68412	35.9164	4.78885	GShoot
B64	6.58068	0	23.30657	6.85487	GShoot
B68	4.47473	0	16.95686	0.47102	GShoot
B73	5.93539	0	20.03193	1.11289	GShoot
B75	327.06116	0	27.96434	4.86336	GShoot
B76	17.07201	0	24.81897	5.16464	GShoot
B77	98.70753	0	26.43354	1.33841	GShoot
B79	59.84316	0	34.08286	0	GShoot
B84	27.16467	0	70.10239	11.68373	GShoot
C103	354.35269	0	69.28151	8.89854	GShoot
C123	67.4685	0	43.37261	6.57161	GShoot
C49A	98.34081	0	41.63333	5.74253	GShoot
CH701-30	25.35001	0	9.84177	2.68412	GShoot
CH9	285.67109	0.38089	32.37606	1.90447	GShoot
CI187-2	151.39039	0.18417	20.99575	1.65756	GShoot
CI21E	26.35312	0.42505	112.63833	102.01208	GShoot
CI28AGoodman-Buckler	78.69668	0	33.23835	3.42159	GShoot
CI31A	23.64406	0	37.88423	4.03024	GShoot
CI3A	19.75027	0	17.17415	0	GShoot
CI64	300.08568	0	24.18827	3.52746	GShoot
CI66	13.26716	0	55.72206	0.88448	GShoot
CM105	70.828	0	6.14116	0.81882	GShoot
CM37	3.29979	0	13.61165	0.41247	GShoot
CM7	2.35212	0	48.21841	4.70423	GShoot
CML10	20.46156	0	30.52462	3.68979	GShoot
CML108	10.4424	0	17.90126	8.45337	GShoot
CML11	14.92128	0	16.64297	2.29558	GShoot
CML14	31.10401	0	7.65994	7.42782	GShoot
CML154Q	199.23602	0	32.30854	13.76105	GShoot
CML157Q	32.15857	0	24.69319	1.43565	GShoot
CML158Q	28.94705	0.35301	22.23981	14.47352	GShoot
CML218	33.73327	0.39686	4.36548	7.14352	GShoot
CML220	68.08782	0	13.40589	0.35279	GShoot
CML228	178.04941	0	8.04925	3.2197	GShoot
CML238	398.94064	0	7.62307	11.97911	GShoot
CML247	18.71445	0	11.57341	6.64855	GShoot
CML254	7.65812	0	17.7094	0	GShoot
CML258	98.40374	0	4.06254	1.80557	GShoot
CML261	19.0651	0	0	0	GShoot
CML264	246.34875	0	48.5812	4.59035	GShoot
CML277	3.7246	0	0	30.54169	GShoot
CML281	247.94542	0	8.13638	2.56938	GShoot
CML287	42.42317	2.92574	20.48015	126.29427	GShoot
CML311	36.34286	0	17.95765	1.71025	GShoot
CML314	18.97036	0	5.4201	4.06508	GShoot
CML321	0.53867	0	22.08539	14.54404	GShoot
CML322	28.28122	0	38.29749	8.24869	GShoot
CML323	1.50407	0	8.02171	0	GShoot
CML328	16.13314	0	1.61331	0.53777	GShoot
CML331	2.53989	0.31749	6.03223	5.71475	GShoot
CML332	3.63694	0	16.22635	0.55953	GShoot
CML333	42.73908	0	13.98007	5.1926	GShoot
CML341	44.23644	0	34.53547	10.08901	GShoot
CML38	81.63164	0.47186	22.17738	3.77487	GShoot
CML45	22.36716	0.56626	28.02974	5.37944	GShoot
CML5	13.54021	0	6.18981	0.77373	GShoot
CML52	13.561	0	3.16423	0.45203	GShoot
CML61	34.775	0	22.87829	1.83026	GShoot
CML69	22.00466	0	29.79093	3.38533	GShoot
CML77	23.76754	0	11.31788	5.20622	GShoot
CML91	48.99135	0	4.01568	6.82666	GShoot
CML92	8.61937	0	5.08322	1.32606	GShoot
CMV3	38.11276	0	28.9464	5.78928	GShoot
CO106	4.63987	0	81.97111	9.27975	GShoot
CO125	11.39333	0	41.58567	3.98767	GShoot
CO255	80.06924	0.24561	56.49057	4.17539	GShoot
Ci7Goodman-Buckler	6.01492	0	60.65046	7.51865	GShoot
Ci90CGoodman-Buckler	31.82124	0	37.28309	0.47494	GShoot
Ci91BGoodman-Buckler	171.37358	0	27.89803	1.32848	GShoot
D940Y	128.9766	0	30.58588	0.3685	GShoot
DE1	264.86842	0.23755	190.27767	51.31083	GShoot
DE811	173.18841	0.37897	6.06349	2.27381	GShoot
E2558W	101.52489	0	24.52181	1.83341	GShoot
EP1	117.44289	0	44.08315	0	GShoot
F2834T	16.78292	0	43.80628	6.82695	GShoot
F6	392.19881	0	14.25051	0.20653	GShoot
F7	309.05851	0	59.50816	1.64539	GShoot
GA209	167.29434	0	8.34386	0.41719	GShoot
GT112	40.16939	0	11.8394	8.45671	GShoot
H105W	16.79392	0	49.0489	5.86454	GShoot
H49	358.17873	0	53.69346	15.67449	GShoot
H84	11.94303	0	29.52583	0.6635	GShoot
H91	6.24365	0	11.41082	0.4306	GShoot
H95	7.46815	0	60.16009	3.31918	GShoot
H99	15.99462	0	45.3965	3.0578	GShoot
HP301	12.41709	0	86.9196	9.78316	GShoot
Hi27Goodman-Buckler	4.47069	0	7.90969	16.85108	GShoot
I137TN	113.8997	0	74.59314	8.93331	GShoot
I205	370.23949	0	54.117	0	GShoot
I29	90.10141	0.26192	79.88643	2.61923	GShoot
IA2132Goodman-Buckler	85.15389	0	174.34352	46.81446	GShoot
IDS28	14.99796	0	36.07617	2.02675	GShoot
IDS69	4.89922	0	63.68982	2.85788	GShoot
IDS91	5.06775	0	110.47706	16.55467	GShoot
ILLHy	15.24342	0	18.23766	0	GShoot
Ia5125	208.70956	0.34159	98.37701	22.54473	GShoot
Il101	91.64595	0	66.58039	13.70773	GShoot
Il14H	104.69639	0.57211	60.64381	6.86534	GShoot
K148	95.36055	0	18.75945	1.56329	GShoot
K4	55.19306	0	34.25776	0	GShoot
K55	9.78496	0	56.04115	13.34313	GShoot
K64	220.22456	0	53.72628	2.65972	GShoot
KY226	14.11775	0	19.5667	6.68735	GShoot
KY228	150.30808	0	5.63215	8.09622	GShoot
Ki11	35.52246	0	11.72586	0.68976	GShoot
Ki14	18.18684	0.31357	17.24614	18.50041	GShoot
Ki2021	9.89701	0	66.60421	2.40738	GShoot
Ki21	7.7895	0	24.58561	2.92106	GShoot
Ki43	73.79059	0	13.0012	0.35138	GShoot
Ki44	24.41955	0	31.14377	4.95469	GShoot
Ky21	8.59832	0	34.39327	5.15899	GShoot
L317	17.20763	0	8.86454	0.26072	GShoot
L578	5.0846	0	12.03356	9.99972	GShoot
M14	133.29841	0.28004	70.56975	21.56298	GShoot
M37W	123.46086	0.24841	28.5674	0.49682	GShoot
MEF156-55-2	239.46305	0	49.43045	0.54923	GShoot
MO1W	117.24274	0	20.6745	7.58937	GShoot
MS1334	98.7413	0	162.97352	50.6301	GShoot
MS153	124.77729	0	34.4503	1.26038	GShoot
Mo17	266.42403	0	84.41924	8.13213	GShoot
Mo18W	255.65522	0	30.75552	6.4074	GShoot
Mo44	221.58404	0.37942	55.01659	6.82965	GShoot
Mo45	103.11061	0	29.0369	2.07406	GShoot
Mo46	127.95627	0	25.95233	11.73497	GShoot
Mo47	58.52372	0	47.68599	5.05761	GShoot
MoG	70.49977	0	14.75577	0.81976	GShoot
Mp339	62.14836	0	9.4858	3.92516	GShoot
Mt42	42.38337	0	45.616	7.90198	GShoot
N192	43.50137	0	59.59436	5.02906	GShoot
N28Ht	144.66033	0	33.53238	1.10851	GShoot
NC222	96.97879	0	70.58395	0.59314	GShoot
NC230	329.26681	0	17.76128	0.39036	GShoot
NC232	70.43662	0	23.40729	2.57695	GShoot
NC236	290.60117	0	27.16489	2.2111	GShoot
NC238	61.6302	0	19.58789	7.64406	GShoot
NC250	46.48947	0.41508	122.86502	97.12978	GShoot
NC258	457.91283	0	30.85433	6.05552	GShoot
NC260	74.47774	0.3859	43.99203	7.33201	GShoot
NC262	3.93359	0	16.80714	1.4304	GShoot
NC264	14.39358	0.37878	44.31707	2.65145	GShoot
NC290A	4.45572	0.31827	29.91698	1.27306	GShoot
NC294	13.16986	0	52.39315	6.01233	GShoot
NC296	41.30429	0	1.47515	0.98344	GShoot
NC296A	237.32484	0	14.19711	0.2119	GShoot
NC300	5.1397	0	10.74664	74.29196	GShoot
NC302	64.20721	0	5.66128	1.10464	GShoot
NC304	102.39704	0	20.70951	4.02685	GShoot
NC306	3.27203	0	6.1805	0	GShoot
NC310	9.67544	0	14.0985	0	GShoot
NC314	100.96128	0	104.7426	27.22551	GShoot
NC318	15.2539	0	6.56497	0.96544	GShoot
NC320	51.46248	0	67.36145	7.94949	GShoot
NC324	34.54817	0	61.10172	20.84311	GShoot
NC326	4.02747	0	8.78721	0.36613	GShoot
NC328	1.39291	0	27.51006	0.69646	GShoot
NC33	126.08682	0	64.31959	13.78277	GShoot
NC336	227.58208	0	19.18725	1.06596	GShoot
NC338	193.59085	0.41543	23.67957	0.41543	GShoot
NC340	8.4893	0	60.63784	54.57406	GShoot
NC342	4.34496	0	61.69844	7.82093	GShoot
NC344	37.60289	0	72.27569	8.30194	GShoot
NC346	227.29524	0	12.5205	0.32104	GShoot
NC348	277.55781	0	13.66552	0.73868	GShoot
NC350	42.06765	0	16.82706	0.42068	GShoot
NC352	77.427	0	18.84927	0	GShoot
NC354	165.46629	0	18.67331	0.5187	GShoot
NC356	85.25234	0.4284	12.85211	0.85681	GShoot
NC358	158.44411	0	16.4171	0.76359	GShoot
NC360	58.5183	0	15.66883	1.91863	GShoot
NC362	56.07938	0.3015	55.77787	9.64806	GShoot
NC364	26.58201	0	94.36613	12.95873	GShoot
NC366	123.00415	0	39.71203	21.66111	GShoot
NC368	34.59294	0	19.57732	0.38014	GShoot
ND246	157.87738	0	1.91599	0	GShoot
OH7B	77.20788	0	26.35239	9.24645	GShoot
Oh40B	1.51985	0	27.54726	1.51985	GShoot
Oh43E	11.50643	0	38.35475	3.19623	GShoot
Oh603	138.78303	0	22.50536	5.45584	GShoot
Os420	154.01456	0	28.45535	1.77846	GShoot
Pa762	37.03259	0	33.47177	2.1365	GShoot
Pa875	32.93258	0	36.15675	3.68476	GShoot
Pa880	63.87079	0	54.25917	3.10052	GShoot
Pa91	216.89665	0	29.37859	0.45904	GShoot
R168	64.0902	0	11.91268	0.47651	GShoot
R177	2.9946	0	27.94955	7.98559	GShoot
R229	15.25513	0	3.05103	15.25513	GShoot
R4	154.4699	0	28.54335	0.83951	GShoot
SA24	149.99148	0	64.3468	1.81259	GShoot
SC213R	82.45326	0	10.41515	14.17617	GShoot
SC357	235.15822	0	63.90843	13.02987	GShoot
SC55	101.80433	0	64.20854	0.42242	GShoot
SD40	70.35358	0	57.71725	13.31937	GShoot
SD44	90.44935	0	104.36464	9.27686	GShoot
Sg1533	199.08224	0	48.75483	0.40629	GShoot
Sg18	25.12695	0	50.2539	0.93063	GShoot
T232	121.20999	0	12.47016	1.99523	GShoot
T234	85.1357	0	44.55288	6.61676	GShoot
T8	87.903	0.31282	25.02576	1.25129	GShoot
Tx601	3.12825	0	7.5078	0.31282	GShoot
Tzi10	87.41127	0	10.2169	0.56761	GShoot
Tzi11	56.9269	0	29.30061	0.41858	GShoot
Tzi16	31.72768	0	27.27987	1.4826	GShoot
Tzi18	74.7858	0	28.04467	6.59875	GShoot
Tzi25	17.59167	0	17.23266	2.87211	GShoot
U267Y	181.41847	0	14.43943	1.48097	GShoot
VA102	402.5181	0	51.40265	3.8076	GShoot
Va14	222.89742	0	29.29007	7.32252	GShoot
Va17	190.10397	0	27.05731	1.75697	GShoot
Va22	212.02133	0	59.8278	7.08487	GShoot
Va26	13.7581	0	116.77609	19.46268	GShoot
Va59	252.52656	0.26554	32.39563	9.02829	GShoot
Va85	4.56568	0	21.07237	1.40482	GShoot
Va99	155.25913	0	36.3517	1.01921	GShoot
VaW6	47.50152	0.20926	45.6182	8.37031	GShoot
W117Ht	38.05773	0.32528	58.22507	20.49262	GShoot
W153R	191.67096	0	64.32943	5.92797	GShoot
W182B	21.4048	0	26.42568	1.05703	GShoot
Wf9	221.15533	0	12.87008	0.52531	GShoot
Yu796	125.04765	0	19.20795	0.784	GShoot
i1677a	76.28394	0	41.21087	5.26096	GShoot
A272	28.82299	0	44.93907	1.54962	GShoot
B97	52.11819	0	29.37571	2.36901	GShoot
BKN014	50.55492	0	29.89335	2.19804	GShoot
