id,category,trait,tissue,padj
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,GShoot,0.0127234685821851
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,L3Base,0.9634798476026
AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,L3Tip,1
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,GShoot,0.801225133221299
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Base,0.332407102367764
AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Tip,1
AC148152.3_FG005,Metabolite,X.444972..fumaric.acid..10.94,GShoot,0.22480979314417
AC148152.3_FG005,Metabolite,X.444972..fumaric.acid..10.94,L3Base,1
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,GShoot,1
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,L3Base,1
AC148152.3_FG005,Metabolite,X.448388..D.allose.1..17.278,L3Tip,1
AC148152.3_FG005,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,GShoot,0.00431467012177023
AC148152.3_FG005,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,L3Tip,0.769339955498533
AC148152.3_FG005,Metabolite,X.5280450..linoleic.acid..20.399,L3Base,1
AC148152.3_FG005,Metabolite,X.5321342..beta.sitosterol..28.848,L3Tip,0.327521009510514
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,GShoot,1
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,L3Base,0.41004741147339
AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,L3Tip,0.00257850685299488
AC148152.3_FG005,Metabolite,X.5460407..threonic.acid..13.652,GShoot,0.673291636625024
AC148152.3_FG005,Metabolite,X.5460407..threonic.acid..13.652,L3Tip,1
AC148152.3_FG005,Metabolite,X.5460673..D.saccharic.acid..18.614,L3Base,1
AC148152.3_FG005,Metabolite,X.5460673..D.saccharic.acid..18.614,L3Tip,1
AC148152.3_FG005,Metabolite,X.5460935..turanose.1..24.81,L3Base,1
AC148152.3_FG005,Metabolite,X.5460935..turanose.1..24.81,L3Tip,1
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,GRoot,0.277431204939253
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,GShoot,1
AC148152.3_FG005,Metabolite,X.5960..aspartic.acid.2..13.207,L3Base,1
AC148152.3_FG005,Metabolite,X.5962..L.lysine.2..17.643,L3Base,1
AC148152.3_FG005,Metabolite,X.5984..fructose.1..17.18..s100,GShoot,0.0188826851120778
AC148152.3_FG005,Metabolite,X.5984..fructose.1..17.18..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.5988..Sucrose..23.988..s100,GShoot,2.70765095677916e-07
AC148152.3_FG005,Metabolite,X.5988..Sucrose..23.988..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.6057..tyrosine.2..17.871,GRoot,0.579111935691679
AC148152.3_FG005,Metabolite,X.6057..tyrosine.2..17.871,L3Base,0.321159949200867
AC148152.3_FG005,Metabolite,X.60961..adenosine..23.825,L3Base,1
AC148152.3_FG005,Metabolite,X.6255..maltose..2..24.915,L3Tip,2.14972484258169e-10
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,GShoot,0.925145583739329
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,L3Base,1
AC148152.3_FG005,Metabolite,X.6262..L.ornithine.2..16.632,L3Tip,1
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,GRoot,0.880160814119917
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,L3Base,0.362995915706105
AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,L3Tip,1
AC148152.3_FG005,Metabolite,X.6288..L.threonine.2..11.464,L3Base,1
AC148152.3_FG005,Metabolite,X.6288..L.threonine.2..11.464,L3Tip,1
AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,L3Base,0.160579974600433
AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,L3Tip,1
AC148152.3_FG005,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GShoot,1
AC148152.3_FG005,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,L3Base,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,GRoot,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,GShoot,0.955182578397505
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,L3Base,1
AC148152.3_FG005,Metabolite,X.642609..trans.caftaric.acid.2..25.529,L3Tip,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,L3Tip,5.01712005274158e-11
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.1..26.37,L3Base,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GShoot,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,GShoot,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,L3Base,1
AC148152.3_FG005,Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,L3Tip,0.256446651832844
AC148152.3_FG005,Metabolite,X.6912..xylitol..15.376,GShoot,0.708970644065564
AC148152.3_FG005,Metabolite,X.6912..xylitol..15.376,L3Tip,1
AC148152.3_FG005,Metabolite,X.700..ethanolamine..9.879,GRoot,1
AC148152.3_FG005,Metabolite,X.700..ethanolamine..9.879,L3Tip,1
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,GRoot,0.523095674680457
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,GShoot,0.00872240908868216
AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,L3Base,1
AC148152.3_FG005,Metabolite,X.791..DL.isoleucine.2..10.225,GShoot,0.0705405102865333
AC148152.3_FG005,Metabolite,X.791..DL.isoleucine.2..10.225,L3Base,0.713874077593348
AC148152.3_FG005,Metabolite,X.827..ribitol..15.66,GShoot,0.00711819643668177
AC148152.3_FG005,Metabolite,X.835..dehydroascorbic.acid..1..16.863,GShoot,0.477282260356783
AC148152.3_FG005,Metabolite,X.835..dehydroascorbic.acid..1..16.863,L3Tip,1
AC148152.3_FG005,Metabolite,X.8742..shikimic.acid..16.433..s100,GShoot,0.506395953359081
AC148152.3_FG005,Metabolite,X.8742..shikimic.acid..16.433..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.892..myo.inositol..19.354..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,GShoot,0.866164936930091
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Base,0.146576683240302
AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.938..nicotinic.acid..10.27,GShoot,1
AC148152.3_FG005,Metabolite,X.938..nicotinic.acid..10.27,L3Base,1
AC148152.3_FG005,Metabolite,X.971..oxalic.acid..7.883,GShoot,1
AC148152.3_FG005,Metabolite,X.9750..citrulline.2..16.691,GShoot,1
AC148152.3_FG005,Metabolite,X.9750..citrulline.2..16.691,L3Tip,0.455511216120194
AC148152.3_FG005,other,EarDiameter,L3Tip,0.551558456191794
AC148152.3_FG005,other,GerminationCount,L3Base,0.430430216223629
AC148152.3_FG005,other,MainSpikeLength,GShoot,0.0135683179092103
AC148152.3_FG005,other,MiddleLeafAngle,L3Base,0.137803544554534
AC148152.3_FG005,other,NIROil,L3Base,0.232278567044817
AC148152.3_FG005,other,NIROil,L3Tip,0.904612123202152
AC148152.3_FG005,other,NIRProtein,L3Base,1
AC148152.3_FG005,other,NIRProtein,L3Tip,0.403344195727857
AC148152.3_FG005,other,NIRStarch,L3Tip,0.444190308926979
AC148152.3_FG005,other,NumberofTilleringPlants,GShoot,1
AC148152.3_FG005,other,NumberofTilleringPlants,L3Base,0.581934413702989
AC148152.3_FG005,other,NumberofTilleringPlants,L3Tip,0.928754303212857
AC148152.3_FG005,other,SecondaryBranchNumber,GRoot,0.539586489622516
AC148152.3_FG005,other,SecondaryBranchNumber,GShoot,4.84681335066739e-08
AC148152.3_FG005,other,SeedSetLength,L3Tip,1
AC148152.3_FG005,other,Spikelets.MainSpike,L3Base,0.709077811867392
AC148152.3_FG005,other,StandCount,GShoot,0.790346898687592
AC148152.3_FG005,other,StandCount,L3Base,0.775912551603986
AC148152.3_FG005,other,StandCount,L3Tip,0.916368929619737
AC148152.3_FG005,other,TasselBranchLength,L3Base,0.258637517201329
AC148152.3_FG005,other,TilleringIndex,GRoot,0.1110073469485
AC148152.3_FG005,other,TilleringIndex,L3Tip,0.417356293279406
AC148152.3_FG005,Seed Traits,EarWeight,L3Tip,0.0142608362216599
AC148152.3_FG005,Seed Traits,TotalKernelNum,L3Base,0.444941511433122
AC148152.3_FG005,Seed Traits,TotalKernelVolume,L3Base,1
AC148152.3_FG005,Seed Traits,TotalSeedWeight,L3Tip,0.043350422840396
AC148152.3_FG005,Seed Traits,X20KernelWeight,GShoot,0.949371219110933
AC148152.3_FG005,Seed Traits,X20KernelWeight,L3Base,1
AC148152.3_FG005,Seed Traits,X20KernelWeight,L3Tip,0.00262854325911732
AC148152.3_FG008,Development,EarHeight,L3Base,1
AC148152.3_FG008,Development,EarHeight,LMAD,0.630632252529113
AC148152.3_FG008,Development,EarHeight,LMAN,0.926725965316759
AC148152.3_FG008,Development,PlantHeight,L3Base,0.44112062314526
AC148152.3_FG008,Development,PlantHeight,LMAD,1
AC148152.3_FG008,Development,PlantHeight,LMAN,1
AC148152.3_FG008,Female Inflorescence,CobDiameter,L3Base,0.0221858438606473
AC148152.3_FG008,Female Inflorescence,CobDiameter,L3Tip,1.45064333878508e-08
AC148152.3_FG008,Female Inflorescence,CobDiameter,LMAD,0.315316126264556
AC148152.3_FG008,Female Inflorescence,EarLength,L3Base,1
AC148152.3_FG008,Female Inflorescence,EarLength,L3Tip,0.00120941408284558
AC148152.3_FG008,Female Inflorescence,EarLength,LMAD,0.985833874004366
AC148152.3_FG008,Female Inflorescence,EarLength,LMAN,0.202402748012115
AC148152.3_FG008,Female Inflorescence,EarRankNumber,GShoot,0.689415309896674
AC148152.3_FG008,Female Inflorescence,EarRankNumber,LMAD,1
AC148152.3_FG008,Female Inflorescence,EarRowNumber,L3Tip,0.518824971486678
AC148152.3_FG008,Female Inflorescence,EarRowNumber,LMAD,1
AC148152.3_FG008,Flowering Time,DaystoSilk,GShoot,1
AC148152.3_FG008,Flowering Time,DaystoSilk,L3Base,0.206101310006103
AC148152.3_FG008,Flowering Time,DaystoSilk,LMAD,1
AC148152.3_FG008,Flowering Time,DaystoSilk,LMAN,1
AC148152.3_FG008,Flowering Time,DaysToTassel,L3Base,0.707633383310153
AC148152.3_FG008,Flowering Time,DaysToTassel,LMAD,1
AC148152.3_FG008,Flowering Time,DaysToTassel,LMAN,1
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,GShoot,1
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,L3Base,0.958490977201194
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,LMAD,1
AC148152.3_FG008,Flowering Time,GDDDaystoSilk,LMAN,1
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,GShoot,0.832763117766924
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,L3Base,1
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,LMAD,1
AC148152.3_FG008,Flowering Time,GDDDaystoTassel,LMAN,1
AC148152.3_FG008,Leaf Morphology,LeafLength,L3Base,0.798283839880745
AC148152.3_FG008,Leaf Morphology,LeafLength,LMAD,0.315316126264556
AC148152.3_FG008,Leaf Morphology,LeafLength,LMAN,0.348062380411777
AC148152.3_FG008,Leaf Morphology,LeafWidth,LMAD,1
AC148152.3_FG008,Leaf Morphology,LeafWidth,LMAN,0.105394925506227
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,GShoot,0.0227985061942109
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,LMAD,1
AC148152.3_FG008,Leaf Morphology,UpperLeafAngle,LMAN,0.030830171738705
AC148152.3_FG008,Male Inflorescence,TasselLength,L3Base,0.562816450087828
AC148152.3_FG008,Male Inflorescence,TasselLength,LMAD,1
AC148152.3_FG008,Male Inflorescence,TasselLength,LMAN,0.555072364260156
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,GShoot,0.724224460437229
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,LMAD,0.569315053225432
AC148152.3_FG008,Male Inflorescence,TasselPrimaryBranches,LMAN,1
AC148152.3_FG008,Metabolite,X.1001..phenethylamine..13.742,LMAD,1
AC148152.3_FG008,Metabolite,X.1001..phenethylamine..13.742,LMAN,0.039107035900658
AC148152.3_FG008,Metabolite,X.1060..pyruvic.acid..6.714,L3Base,0.892692950571183
AC148152.3_FG008,Metabolite,X.1060..pyruvic.acid..6.714,LMAD,1
AC148152.3_FG008,Metabolite,X.119..gamma.aminobutyric.acid..GABA...13.326,LMAN,1
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,L3Base,1
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,L3Tip,0.0057957832357014
AC148152.3_FG008,Metabolite,X.12647..L.homoserine.2..12.359,LMAD,3.634139030817e-05
AC148152.3_FG008,Metabolite,X.1549111..caffeic.acid..19.755,GShoot,1
AC148152.3_FG008,Metabolite,X.204..allantoin.1..17.293,LMAD,1
AC148152.3_FG008,Metabolite,X.204..allantoin.1..17.293,LMAN,0.46717449622038
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,L3Tip,1
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,LMAD,0.426193607940054
AC148152.3_FG008,Metabolite,X.236..L.asparagine.2..14.984,LMAN,0.134765048700081
AC148152.3_FG008,Metabolite,X.239..Beta..alanine..1..12.044,L3Tip,1
AC148152.3_FG008,Metabolite,X.239..Beta..alanine..1..12.044,LMAD,1
AC148152.3_FG008,Metabolite,X.2724705..1.6.anhydro.glucose..15.326,L3Base,1
AC148152.3_FG008,Metabolite,X.311..citric.acid..16.615..s100,LMAD,3.08884831885514e-05
AC148152.3_FG008,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,GShoot,0.650617553547994
AC148152.3_FG008,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,L3Tip,0.904031823174481
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,GShoot,1
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,L3Tip,0.723899679690237
AC148152.3_FG008,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,LMAD,1
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,L3Base,1
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,L3Tip,0.303174007711637
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,LMAD,1
AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,LMAN,1
AC148152.3_FG008,Metabolite,X.439242..Raffinose..29.282,L3Tip,1
AC148152.3_FG008,Metabolite,X.439242..Raffinose..29.282,LMAD,1
AC148152.3_FG008,Metabolite,X.439451..galactinol.2..26.479,LMAD,1
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Tip,1
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,LMAD,1
AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,LMAN,0.28054642905758
AC148152.3_FG008,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,LMAD,1
AC148152.3_FG008,Metabolite,X.444266..maleic.acid..10.323,GShoot,0.373913093868918
AC148152.3_FG008,Metabolite,X.444266..maleic.acid..10.323,LMAD,1
AC148152.3_FG008,Metabolite,X.448388..D.allose.1..17.278,LMAD,1
AC148152.3_FG008,Metabolite,X.448388..D.allose.1..17.278,LMAN,0.289298329663208
AC148152.3_FG008,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,L3Base,0.892692950571183
AC148152.3_FG008,Metabolite,X.51..alpha.ketoglutaric.acid..13.859,LMAD,1
AC148152.3_FG008,Metabolite,X.5321515..stigmasterol..28.442,LMAD,1
AC148152.3_FG008,Metabolite,X.5460407..threonic.acid..13.652,L3Base,1
AC148152.3_FG008,Metabolite,X.5460407..threonic.acid..13.652,LMAD,1
AC148152.3_FG008,Metabolite,X.5810..trans.4.hydroxy.L.proline.2..13.267,L3Base,1
AC148152.3_FG008,Metabolite,X.5951..L.serine.2..11.174..s100,LMAD,3.24641404149105e-09
AC148152.3_FG008,Metabolite,X.5960..aspartic.acid.2..13.207,L3Tip,1
AC148152.3_FG008,Metabolite,X.5960..aspartic.acid.2..13.207,LMAD,1
AC148152.3_FG008,Metabolite,X.5960..aspartic.acid.2..13.207,LMAN,0.77874249493566
AC148152.3_FG008,Metabolite,X.5962..L.lysine.2..17.643,L3Tip,1
AC148152.3_FG008,Metabolite,X.5962..L.lysine.2..17.643,LMAD,1
